strainname,vendor,stocknum,panel,mpd_strainid,straintype,n_proj,n_snp_datasets,mpd_shortname,mginum,url
BTBR T<+> Itpr3<tf>/J,J,002282,,1,IN,115,5,,MGI:2162761,https://www.jax.org/strain/002282
CAST/EiJ,J,000928,,2,IWD,152,7,,,https://www.jax.org/strain/000928
129S1/SvImJ,J,002448,,3,IN,200,7,,MGI:3037980,https://www.jax.org/strain/002448
A/J,J,000646,,4,IN,249,9,,MGI:2159747,https://www.jax.org/strain/000646
BALB/cJ,J,000651,,5,IN,111,4,,MGI:2159737,https://www.jax.org/strain/000651
C3H/HeJ,J,000659,,6,IN,186,6,,MGI:2159741,https://www.jax.org/strain/000659
C57BL/6J,J,000664,,7,IN,326,10,,MGI:3028467,https://www.jax.org/strain/000664
DBA/2J,J,000671,,8,IN,207,6,,,https://www.jax.org/strain/000671
FVB/NJ,J,001800,,9,IN,158,5,,,https://www.jax.org/strain/001800
LP/J,J,000676,,10,IN,99,4,,,https://www.jax.org/strain/000676
NZB/BlNJ,J,000684,,11,IN,74,4,,,https://www.jax.org/strain/000684
SWR/J,J,000689,,12,IN,114,3,,,https://www.jax.org/strain/000689
NOD/ShiLtJ,J,001976,,13,IN,160,7,,,https://www.jax.org/strain/001976
PL/J,J,000680,,14,IN,99,3,,,https://www.jax.org/strain/000680
AKR/J,J,000648,,15,IN,138,6,,MGI:2159745,https://www.jax.org/strain/000648
CBA/J,J,000656,,16,IN,133,4,,,https://www.jax.org/strain/000656
SJL/J,J,000686,,17,IN,124,3,,,https://www.jax.org/strain/000686
KK/HlJ,J,002106,,18,IN,84,5,,,https://www.jax.org/strain/002106
BPL/1J,J,003006,,19,IN,8,3,,MGI:2164247,https://www.jax.org/strain/003006
MA/MyJ,J,000677,,20,IN,52,3,,,https://www.jax.org/strain/000677
ALR/LtJ,J,003070,,21,IN,6,1,,MGI:2173830,https://www.jax.org/strain/003070
ALS/LtJ,J,003072,,22,IN,5,1,,MGI:2173831,https://www.jax.org/strain/003072
BPH/2J,J,003005,,23,IN,6,3,,MGI:2163702,https://www.jax.org/strain/003005
BUB/BnJ,J,000653,,24,IN,84,4,,MGI:2159907,https://www.jax.org/strain/000653
CE/J,J,000657,,25,IN,52,3,,,https://www.jax.org/strain/000657
RIIIS/J,J,000683,,26,IN,80,3,,,https://www.jax.org/strain/000683
BPN/3J,J,003004,,27,IN,6,3,,MGI:2162661,https://www.jax.org/strain/003004
C58/J,J,000669,,28,IN,69,4,,,https://www.jax.org/strain/000669
SEA/GnJ,J,000644,,29,IN,42,4,,,https://www.jax.org/strain/000644
I/LnJ,J,000674,,30,IN,56,4,,,https://www.jax.org/strain/000674
SM/J,J,000687,,31,IN,113,3,,,https://www.jax.org/strain/000687
C57BR/cdJ,J,000667,,32,IN,62,4,,,https://www.jax.org/strain/000667
RBF/DnJ,J,000726,,33,IN,8,1,,,https://www.jax.org/strain/000726
NON/ShiLtJ,J,002423,,34,IN,74,3,,,https://www.jax.org/strain/002423
C57BLKS/J,J,000662,,35,IN,76,2,,,https://www.jax.org/strain/000662
NZW/LacJ,J,001058,,36,IN,106,5,,,https://www.jax.org/strain/001058
C57L/J,J,000668,,37,IN,92,5,,,https://www.jax.org/strain/000668
C57BL/10J,J,000665,,38,IN,67,4,,,https://www.jax.org/strain/000665
SPRET/EiJ,J,001146,,39,IWD,34,4,,,https://www.jax.org/strain/001146
MOLF/EiJ,J,000550,,40,IWD,43,5,,,https://www.jax.org/strain/000550
PERA/EiJ,J,000930,,41,IWD,32,3,,,https://www.jax.org/strain/000930
WSB/EiJ,J,001145,,42,IWD,112,7,,,https://www.jax.org/strain/001145
CZECHII/EiJ,J,001144,,43,IWD,27,3,,,https://www.jax.org/strain/001144
MOLG/DnJ,J,000555,,44,IWD,,3,,,https://www.jax.org/strain/000555
HTG/GoSfSnJ,J,000556,,45,IN,,2,,,https://www.jax.org/strain/000556
TALLYHO/JngJ,J,005314,,46,IN,8,3,,,https://www.jax.org/strain/005314
129X1/SvJ,J,000691,,47,IN,47,3,,MGI:3044210,https://www.jax.org/strain/000691
C57BL/10ScSn-Dmd<mdx>/J,J,001801,,48,CI,1,,,,https://www.jax.org/strain/001801
BALB/cByJ,J,001026,,50,IN,144,5,,MGI:2159771,https://www.jax.org/strain/001026
129T2/SvEmsJ,J,002065,,51,IN,9,3,,MGI:2165253,https://www.jax.org/strain/002065
129P1/ReJ,J,001137,,52,IN,6,1,,MGI:2160028,https://www.jax.org/strain/001137
129S6/SvEvTac,Tac,809,,53,IN,12,1,,MGI:3044417,http://www.taconic.com/find-your-model/
Tac:SW,Tac,856,,54,OU,2,,,,http://www.taconic.com/find-your-model/
P/J,J,000679,,55,IN,43,3,,,https://www.jax.org/strain/000679
129P3/J,J,000690,,56,IN,26,1,,MGI:2661783,https://www.jax.org/strain/000690
MRL/MpJ,J,000486,,58,IN,65,3,,,https://www.jax.org/strain/000486
C3HeB/FeJ,J,000658,,59,IN,29,3,,MGI:2159873,https://www.jax.org/strain/000658
129S5SvEv<Brd>,Sanger,,,62,IN,1,1,,,
DBA/1J,J,000670,,65,IN,54,4,,,https://www.jax.org/strain/000670
A/WySnJ,J,000647,,66,IN,4,1,,MGI:2160335,https://www.jax.org/strain/000647
A/HeJ,J,000645,,68,IN,13,,,MGI:2159897,https://www.jax.org/strain/000645
ST/bJ,J,000688,,69,IN,2,4,,,https://www.jax.org/strain/000688
J:DO,J,009376,,70,OU,29,,,,https://www.jax.org/strain/009376
C3H/HeSnJ,J,000661,,71,IN,5,1,,MGI:2159906,https://www.jax.org/strain/000661
RF/J,J,000682,,74,IN,13,4,,,https://www.jax.org/strain/000682
YBR/EiJ,J,000933,,75,IN,4,1,,,https://www.jax.org/strain/000933
CBA/CaJ,J,000654,,77,IN,13,1,,,https://www.jax.org/strain/000654
LG/J,J,000675,,78,IN,44,3,,,https://www.jax.org/strain/000675
ZALENDE/EiJ,J,001392,,80,IWD,5,4,,,https://www.jax.org/strain/001392
C57BL/10ScNJ,J,003752,,81,IN,1,1,,,https://www.jax.org/strain/003752
CAROLI/EiJ,J,000926,,82,IWD,,1,,,https://www.jax.org/strain/000926
CALB/RkJ,J,001489,,83,IWD,1,3,,,https://www.jax.org/strain/001489
CASA/RkJ,J,000735,,84,IWD,,1,,,https://www.jax.org/strain/000735
CBA/CaGnLeJ,J,001143,,85,IN,1,,,,https://www.jax.org/strain/001143
CBA/CaHN-Btk<xid>/J,J,001011,,86,IN,,,,,https://www.jax.org/strain/001011
CBA/CaH-T(14;15)6Ca/J,J,000655,,87,IN,1,,,,https://www.jax.org/strain/000655
LEWES/EiJ,J,002798,,88,IWD,2,4,,,https://www.jax.org/strain/002798
MOLC/RkJ,,,,89,IWD,,,,,
C57BL/6JEiJ,J,000924,,90,IN,,,,,https://www.jax.org/strain/000924
BDP/J,J,000652,,91,IN,2,1,,MGI:2159753,https://www.jax.org/strain/000652
NOD.B10Sn-H2<b>/J,J,002591,,92,CG,19,1,,,https://www.jax.org/strain/002591
C3H/HeOuJ,J,000635,,93,IN,11,,,MGI:2159855,https://www.jax.org/strain/000635
C57BL/10SnJ,J,000666,,94,IN,10,,,,https://www.jax.org/strain/000666
C57BL/6ByJ,J,001139,,95,IN,7,4,,MGI:2159783,https://www.jax.org/strain/001139
DBA/1LacJ,J,001140,,96,IN,10,1,,,https://www.jax.org/strain/001140
DBA/2HaSmnJ,J,000973,,97,IN,2,1,,,https://www.jax.org/strain/000973
MOLD/RkJ,J,000734,,99,IWD,2,1,,,https://www.jax.org/strain/000734
SKIVE/EiJ,J,001393,,100,IWD,2,3,,,https://www.jax.org/strain/001393
PWD/PhJ,J,004660,,101,IWD,55,5,,,https://www.jax.org/strain/004660
SEC/1ReJ,,,,104,IN,1,1,,,
SENCARA/PtJ,J,002746,,105,IN,4,,,,https://www.jax.org/strain/002746
NOR/LtJ,J,002050,,106,IN,21,3,,,https://www.jax.org/strain/002050
SKH2/J,J,002335,,107,IN,2,,,,https://www.jax.org/strain/002335
129S6/SvEv,,,,108,IN,1,1,,MGI:3664076,
CHD/Ms,Ms,229,,109,IWD,2,,,,http://www.shigen.nig.ac.jp/mouse/nig/resource/detail/229
PGN2/Ms,Ms,162,,110,IWD,2,,,,http://www.shigen.nig.ac.jp/mouse/nig/resource/detail/162
BFM/2Ms,Ms,152,,114,IWD,3,,,MGI:3610726,http://www.shigen.nig.ac.jp/mouse/nig/resource/detail/152
NJL/Ms,Ms,151,,115,IWD,3,,,,http://www.shigen.nig.ac.jp/mouse/nig/resource/detail/151
BLG2/Ms,Ms,20,,116,IWD,3,,,MGI:2669302,http://www.shigen.nig.ac.jp/mouse/nig/resource/detail/20
HMI/Ms,Ms,150,,117,IWD,3,,,,http://www.shigen.nig.ac.jp/mouse/nig/resource/detail/150
KJR/Ms,Ms,147,,118,IWD,3,,,,http://www.shigen.nig.ac.jp/mouse/nig/resource/detail/147
SWN/Ms,Ms,146,,119,IWD,3,,,,http://www.shigen.nig.ac.jp/mouse/nig/resource/detail/146
MSM/MsJ,J,003719,,120,IWD,25,3,,,https://www.jax.org/strain/003719
JF1/MsJ,J,003720,,121,IWD,20,3,,,https://www.jax.org/strain/003720
NZO/HlLtJ,J,002105,,122,IN,99,6,,,https://www.jax.org/strain/002105
C57BL/10ScSnJ,J,000476,,123,IN,,1,,,https://www.jax.org/strain/000476
PAHARI/EiJ,J,002655,,124,IWD,,1,,,https://www.jax.org/strain/002655
NH/KiPtJ,J,003091,,125,IN,1,1,,,https://www.jax.org/strain/003091
NOD.CB17-Prkdc<scid>/J,J,001303,,126,IN,8,1,,,https://www.jax.org/strain/001303
NU/J,J,002019,,127,IN,6,1,,,https://www.jax.org/strain/002019
NZM2410/J,J,002676,,128,IN,2,1,,,https://www.jax.org/strain/002676
PANCEVO/EiJ,J,001384,,129,IWD,1,1,,,https://www.jax.org/strain/001384
RIII/DmMobJ,J,001088,,130,IN,,,,,https://www.jax.org/strain/001088
SB/LeJ,J,000269,,131,IN,4,1,,,https://www.jax.org/strain/000269
SI/Col Tyrp1<b> Dnah11<iv>/J,J,001045,,132,IN,,1,,,https://www.jax.org/strain/001045
SOD1/EiJ,J,001224,,133,IN,2,3,,,https://www.jax.org/strain/001224
TIRANO/EiJ,J,000929,,134,IWD,2,1,,,https://www.jax.org/strain/000929
PERC/EiJ,J,001307,,135,IWD,1,3,,,https://www.jax.org/strain/001307
RBA/DnJ,J,000874,,136,IWD,1,3,,,https://www.jax.org/strain/000874
DDK/Pas,Pas,DDK,,137,IN,,3,,,http://www.pasteur.fr/en
C57BL/6N,,,,138,IN,1,,,,
